Time	Data_Count	Cycle	State	Desired_force_(psi)	Measured_force_(psi)	Toe_sensor	Heel_Sensor																			
1479848727963.00	211	1	2	196	0	463214.21	1489530																			
1479848727979.00	212	1	2	196	0	451068.46	1374145.38																			
1479848727996.00	213	1	2	196	0	428554.39	1489530																			
1479848728002.00	214	1	2	196	0	428554.39	1625893.64																			
1479848728014.00	215	2	2	196	0	418101.43	1625893.64																			
1479848728034.00	216	2	1	196	0	408134.65	1489530																			
1479848728045.00	217	2	1	196	0	398620.91	1625893.64																			
1479848728057.00	218	2	1	196	0	408134.65	1489530																			
1479848728073.00	219	2	1	196	0	408134.65	1489530																			
1479848728086.00	220	2	1	196	0	408134.65	1374145.38																			
1479848728098.00	221	2	1	196	-0.484	398620.91	1275244.29																			
1479848728108.00	222	2	1	196	0	408134.65	1625893.64																			
1479848728118.00	223	2	1	196	-0.484	398620.91	1625893.64																			
1479848728135.00	224	2	1	196	-0.484	389530	1374145.38																			
1479848728148.00	225	2	1	196	11.127	398620.91	1275244.29																			
1479848728161.00	226	2	1	196	-0.484	380834.35	1625893.64																			
1479848728177.00	227	2	1	196	-0.484	372508.72	1489530																			
1479848728190.00	228	2	1	196	0	380834.35	1489530																			
1479848728200.00	229	2	1	196	-0.484	372508.72	1625893.64																			
1479848728211.00	230	2	1	196	-0.484	372508.72	1489530																			
1479848728223.00	231	2	1	196	-0.484	372508.72	1489530																			
1479848728235.00	232	2	1	196	-0.484	364530	1489530																			
1479848728245.00	233	2	1	196	-0.484	372508.72	1489530																			
1479848728254.00	234	2	1	196	-0.484	380834.35	1489530																			
1479848728265.00	235	2	1	196	0	372508.72	1625893.64																			
1479848728274.00	236	2	1	196	0	372508.72	1625893.64																			
1479848728284.00	237	2	1	196	-0.484	372508.72	1625893.64																			
1479848728296.00	238	2	1	196	-0.484	372508.72	1989530																			
1479848728305.00	239	2	1	196	-0.484	372508.72	1989530																			
1479848728315.00	240	2	1	196	-0.484	380834.35	2989530																			
1479848728326.00	241	2	1	196	-0.484	372508.72	inf																			
1479848728336.00	242	2	1	196	-0.484	177030	72863.33																			
1479848728348.00	243	2	1	196	51.28	43101.43	18376.15																			
1479848728360.00	244	2	1	196	75.952	21558.47	9116.51																			
1479848728371.00	245	2	1	196	117.072	12459.94	5601.43																			
1479848728381.00	246	2	1	196	151.904	9619.29	15961.72																			
1479848728393.00	247	2	1	196	192.54	8086.7	6479.15																			
1479848728404.00	248	2	1	196	225.437	7108.12	2697.52																			
1479848728422.00	249	2	1	196	275.749	5953.36	8989530																			
1479848728432.00	250	2	1	196	297.035	5487.45	inf																			
1479848728442.00	251	2	1	196	319.288	5114.42	5989530																			
1479848728452.00	252	2	1	196	339.122	4849.15	8989530																			
1479848728465.00	253	2	1	196	363.311	4357.02	17989530																			
1479848728481.00	254	2	1	196	387.983	4081.33	8989530																			
1479848728496.00	255	2	1	196	407.818	3861.21	17989530																			
1479848728512.00	256	2	1	196	425.717	3658.73	8989530																			
1479848728527.00	257	2	1	196	439.746	3559.62	17989530																			
1479848728543.00	258	2	1	196	451.357	3376.15	17989530																			
1479848728557.00	259	2	1	196	459.581	3291.47	17989530																			
1479848728573.00	260	2	1	196	466.838	3228.63	17989530																			
1479848728591.00	261	2	1	196	473.127	3166.36	8989530																			
1479848728606.00	262	2	1	196	476.513	3084.22	inf																			
1479848728621.00	263	2	1	196	479.416	3063.83	8989530																			
1479848728635.00	264	2	1	196	480.867	3013.15	43422.22																			
1479848728654.00	265	2	1	196	482.802	2962.84	29798.46																			
1479848728668.00	266	2	1	196	483.77	2942.82	7897.35																			
1479848728686.00	267	2	1	196	484.737	2942.82	16157.22																			
1479848728698.00	268	2	1	196	484.253	2932.83	7056.78																			
1479848728717.00	269	2	1	196	484.253	2922.86	7730.2																			
1479848728730.00	270	2	1	196	484.253	2893.03	19986.85																			
1479848728747.00	271	2	1	196	484.253	2873.22	7177.06																			
1479848728759.00	272	2	1	196	483.77	2863.33	6656.55																			
1479848728774.00	273	2	1	196	483.286	2863.33	7005.73																			
1479848728791.00	274	2	1	196	483.286	2843.61	15730.87																			
1479848728810.00	275	2	1	196	482.802	2833.77	10124.97																			
1479848728820.00	276	2	1	196	482.802	2833.77	14810.9																			
1479848728830.00	277	2	1	196	482.318	2823.94	8067.59																			
1479848728844.00	278	2	1	196	482.318	2814.13	7022.71																			
1479848728856.00	279	2	1	196	482.318	2794.55	7125.31																			
1479848728866.00	280	2	1	196	482.318	2794.55	7748.62																			
1479848728877.00	281	2	1	196	481.351	2804.34	14989.69																			
1479848728890.00	282	2	1	196	481.351	2784.79	6028.63																			
1479848728904.00	283	2	1	196	481.351	2784.79	4199.93																			
1479848728924.00	284	2	1	196	481.351	2784.79	5250.52																			
1479848728940.00	285	2	1	196	480.867	2775.03	3270.46																			
1479848728957.00	286	2	1	196	480.867	2775.03	5389.03																			
1479848728976.00	287	2	1	196	481.351	2765.29	4284.1																			
1479848728993.00	288	2	1	196	480.867	2765.29	5601.43																			
1479848729012.00	289	2	1	196	480.867	2745.86	3408.18																			
1479848729026.00	290	2	1	196	480.867	2755.57	3669.83																			
1479848729043.00	291	2	1	196	480.867	2736.16	4128.54																			
1479848729057.00	292	2	2	196	480.867	2745.86	4176.05																			
1479848729077.00	293	2	2	196	480.867	2736.16	5141.45																			
1479848729092.00	294	2	2	196	477.964	2726.48	7142.52																			
1479848729102.00	295	2	2	196	428.62	2853.46	8760.77																			
1479848729112.00	296	2	2	196	362.827	3187.06	2833.77																			
1479848729120.00	297	2	2	196	306.71	3680.94	3669.83																			
1479848729131.00	298	2	2	196	233.661	4259.95	8358.45																			
1479848729149.00	299	2	2	196	131.585	6415.55	3589530																			
1479848729167.00	300	2	2	196	50.312	9441.5	15392.07																			
1479848729176.00	301	2	2	196	16.932	16355.63	18989.9																			
1479848729195.00	302	2	2	196	0	44241.25	124868.35																			
1479848729204.00	303	2	2	196	0	96672.86	289530																			
1479848729217.00	304	2	2	196	-0.484	112817.67	451068.46																			
1479848729225.00	305	2	2	196	-0.484	150244.29	570175.16																			
1479848729243.00	306	2	2	196	-0.484	196426.55	889530																			
1479848729255.00	307	2	2	196	-0.484	239530	989530																			
1479848729268.00	308	2	2	196	-0.484	270780	1489530																			
1479848729278.00	309	2	2	196	0	289530	1275244.29																			
1479848729293.00	310	2	2	196	-0.484	316802.73	1374145.38																			
1479848729309.00	311	2	2	196	-0.484	342471.18	1625893.64																			
1479848729321.00	312	2	2	196	0	349530	1374145.38																			
1479848729331.00	313	2	2	196	0	372508.72	1489530																			
1479848729348.00	314	2	2	196	0	380834.35	1789530																			
1479848729362.00	315	2	2	196	-0.484	408134.65	1625893.64																			
1479848729373.00	316	2	2	196	0	408134.65	1625893.64																			
1479848729383.00	317	2	2	196	-0.484	418101.43	1625893.64																			
1479848729401.00	318	2	2	196	-0.484	428554.39	1489530																			
1479848729415.00	319	2	2	196	-0.484	463214.21	1374145.38																			
1479848729424.00	320	2	2	196	0	451068.46	1489530																			
1479848729444.00	321	2	2	196	0	451068.46	1625893.64																			
1479848729454.00	322	2	2	196	0	489530	1625893.64																			
1479848729465.00	323	2	2	196	0	463214.21	1489530																			
1479848729475.00	324	2	2	196	0	476016.49	1625893.64																			
1479848729495.00	325	2	2	196	0	503815.71	1625893.64																			
1479848729508.00	326	2	2	196	0	463214.21	1489530																			
1479848729518.00	327	2	2	196	0	463214.21	1625893.64																			
1479848729528.00	328	2	2	196	0	451068.46	1625893.64																			
1479848729544.00	329	2	2	196	0	451068.46	1374145.38																			
1479848729559.00	330	3	2	196	0	428554.39	1625893.64																			
