Serial_number:	-1231536963								
Time	Data_Count	Cycle	State	Desired_force_(psi)	Measured_force_(psi)	Toe_sensor	Heel_Sensor		Desired 
1484787018777.0	166	1	1	196	493.445	3494.31	inf		
1484787018785.0	167	1	1	196	500.218	3451.11	17989530		
1484787018790.0	168	1	1	196	503.604	3408.18	17989530		
1484787018798.0	169	1	1	196	507.474	3344.27	17989530		
1484787018811.0	170	1	2	196	511.828	3270.46	3589530		
1484787018822.0	171	1	2	196	514.731	3249.51	17989530		
1484787018827.0	172	1	2	196	515.215	3239.06	17989530		
1484787018837.0	173	1	2	196	516.182	3218.21	8989530		
1484787018841.0	174	1	2	196	516.182	3187.06	8989530		
1484787018846.0	175	1	2	196	513.763	3176.7	17989530		
1484787018853.0	176	1	2	196	472.159	3333.68	17989530		
1484787018860.0	177	1	2	196	417.977	3581.52	inf		
1484787018867.0	178	1	2	196	365.246	4140.39	846672.86		
1484787018884.0	179	1	2	196	240.433	4745.55	55950.66		
1484787018890.0	180	1	2	196	200.764	5487.45	inf		
1484787018898.0	181	1	2	196	153.355	6463.21	53815.71		
1484787018906.0	182	1	2	196	108.848	7476.16	41703.91		
1484787018915.0	183	1	2	196	57.569	9664.23	14221.36		
1484787018919.0	184	1	2	196	41.604	11269.13	11427.81		
1484787018931.0	185	1	2	196	1.451	25458.14	41553.12		
1484787018941.0	186	1	2	196	-0.484	50340.81	119964.78		
1484787018949.0	187	1	2	196	-0.484	69887.14	160958.57		
1484787018954.0	188	1	2	196	-0.484	89530	201294.71		
1484787018962.0	189	1	2	196	0	101331.24	310958.57		
1484787018972.0	190	1	2	196	0	125893.64	709530		
1484787018976.0	191	1	2	196	0	140790.5	408134.65		
1484787018982.0	192	1	2	196	-0.484	173203.47	681837.69		
1484787018996.0	193	1	2	196	-0.484	189530	1625893.64		
1484787019005.0	194	1	2	196	0	196426.55	1275244.29		
1484787019010.0	195	1	2	196	-0.484	206397.47	1489530		
1484787019016.0	196	1	2	196	-0.484	217378.1	1275244.29		
1484787019023.0	197	1	2	196	-0.484	226372.11	1275244.29		
1484787019029.0	198	1	2	196	0	232773.24	1048353.53		
1484787019045.0	199	1	2	196	-0.484	236105.34	1189530		
1484787019054.0	200	1	2	196	-0.484	239530	1989530		
1484787019058.0	201	1	2	196	-0.484	239530	1189530		
1484787019066.0	202	1	2	196	-0.484	243051.13	1275244.29		
1484787019071.0	203	1	2	196	-0.484	246672.86	1275244.29		
1484787019077.0	204	1	2	196	-0.968	250399.57	1374145.38		
1484787019085.0	205	1	2	196	-0.484	246672.86	1275244.29		
1484787019094.0	206	1	2	196	-0.484	254235.88	1275244.29		
1484787019107.0	207	1	2	196	-0.484	254235.88	1275244.29		
1484787019117.0	208	1	2	196	-0.484	254235.88	1275244.29		
1484787019120.0	209	1	2	196	0	258186.72	1625893.64		
1484787019126.0	210	1	2	196	-0.484	262257.27	1489530		
1484787019136.0	211	1	2	196	-0.484	275244.29	1489530		
1484787019140.0	212	1	2	196	-0.484	275244.29	1374145.38		
1484787019145.0	213	1	2	196	-0.484	284611.97	1374145.38		
1484787019160.0	214	1	2	196	-0.484	299874.83	1374145.38		
1484787019170.0	215	1	2	196	0	289530	1275244.29		
1484787019175.0	216	1	2	196	0	299874.83	1275244.29		
1484787019182.0	217	1	2	196	0	299874.83	1275244.29		
1484787019189.0	218	1	2	196	0	294614.75	1189530		
1484787019197.0	219	1	2	196	0	294614.75	1489530		
1484787019205.0	220	1	2	196	0	294614.75	1489530		
1484787019216.0	221	1	2	196	0	294614.75	1489530		
1484787019224.0	222	1	2	196	0	299874.83	1374145.38		
1484787019234.0	223	1	2	196	0	294614.75	1625893.64		
1484787019239.0	224	1	2	196	0	299874.83	1789530		
1484787019245.0	225	1	2	196	0	299874.83	1789530		
1484787019253.0	226	1	2	196	0	299874.83	1489530		
